Code,Domain,Title,Responsible,Duration,Deliverables,Prerequisites,Description,Required Resources/Facilities,Predecessor WPs:,Successor WPs,Completeness
SD.TTC.DES.01.12,TTC,Combination of PPL and Primary Downlink on Engineering Model,"RF Specialist, PBR Specialist",1 month,Engineering model of combined PPL and downlink communications system,"SD.TTC.DES.01.11, SD.PPL.PRF.03.06",Combine PPL and Downlink FPGA design,"Appropriate FPGA development board, Appropriate transceiver development board","SD.TTC.DES.01.11, SD.PPL.PRF.03.06",SD.TTC.DES.01.13,0%
SD.TTC.DES.01.13,TTC,Analyse FPGA Resource Usage of PPL System and Downlink System on Engineering Model,"RF Specialist, PBR Specialist",2 weeks,Resource Usage Report of combined design,SD.TTC.DES.01.12,Ensure that both designs can fit on target FPGA. Optimising as necessary.,"Appropriate FPGA development board, Appropriate transceiver development board",SD.TTC.DES.01.12,SD.TTC.DES.01.14,0%
SD.TTC.DES.01.14,TTC,End to End Testing of Combined PPL and Downlink System on Engineering Model,"RF Specialist, PBR Specialist",1 month,Test report of combined design,SD.TTC.DES.01.13,Ensure both systems work as expected when combined,"Appropriate FPGA development board, Appropriate transceiver development board",SD.TTC.DES.01.13,SD.TTC.DES.01.15,0%
SD.TTC.DES.01.15,TTC,End to End Testing of Combined PPL and Downlink System on Target SDR,"RF Specialist, PBR Specialist",3 months,Downlink System Test Report,SD.TTC.DES.01.14,Ensure design works as expected on target SDR.,Target SDR,SD.TTC.DES.01.14,SD.TTC.DES.01.00,0%
SD.TTC.ANL.01.00,GS,Receiver Analysis and Modelling,RF Specialist,3 months,Receiver Analysis Results and requirements ,Ground station site selection,Modelling of receive channel for satellite and subsequent receiver requirement,"MATLAB, STK, Simulink",GD.GS.TRD.09.00,SD.TTC.DES.02.00,0%
SD.TTC.ANL.01.01,GS,Channel Research,RF Specialist,1 month,Interference ,Ground station site selection,Identification of relevant literature and model parameters including interference,"MATLAB, STK, Simulink",GD.GS.TRD.09.00,SD.TTC.ANL.01.02,0%
SD.TTC.ANL.01.02,GS,Channel Model Creation,RF Specialist,1 month,"Channel Analysis Results, Link Budget",Ground station site selection,Modelling expected channel with interference for satellite receiver over course of mission. Creation of link budget,"MATLAB, STK, Simulink",SD.TTC.ANL.01.01,SD.TTC.ANL.01.03,0%
SD.TTC.ANL.01.03,GS,Receiver Requirement Generation,RF Specialist,1 month,Receiver functional and performance requirements,SD.TTC.ANL.01.02,,,SD.TTC.ANL.01.02,SD.TTC.ANL.01.00,
SD.TTC.DES.02.00,GS,Primary Uplink Receiver Design & Implementation,RF Specialist,6 months,Primary uplink receiver system,"Ground station site interference analysis, ground station hardware selection",Design and implement receiver system for primary uplink communications with appropriate filtering to improve SINR.,"MATLAB, Simulink, GNU Radio, Vivado",SD.TTC.TRD.02.00,None,0%
SD.TTC.DES.02.01,GS,Receiver Implementation Research,RF Specialist,1 month,"Primary uplimk receiver system architecture, identification of open source resources for development",,"Research into requirements for receiver, previous implementations","Research papers, STRATHcube documents",N/A,SD.TTC.DES.02.02,0%
SD.TTC.DES.02.02,GS,Receiver Interference Filter Design,RF Specialist,3 months,Interference Filter Design,"SD.TTC.DES.02.01, SD.TTC.ANL.01.00",Design of anti interference filter based on literature and previous analysis,"Interference Report, Research Paper","SD.TTC.DES.02.01, SD.TTC.ANL.01.00",SD.TTC.DES.02.03,0%
SD.TTC.DES.02.03,GS,Receiver Implementation,RF Specialist,1 month,Primary uplink receiver design,SD.TTC.DES.02.02,Implementation of primary uplink receiver,"GNU Radio, MATLAB, Simulink, C++",SD.TTC.DES.02.02,SD.TTC.DES.02.04,0%
SD.TTC.DES.02.04,GS,Receiver Testing on Engineering Model,RF Specialist,1 month,Tested primary uplink receiver design,"SD.TTC.DES.02.03, SD.TTC.DES.01.11",Testing of design with synthesised data,Tx capable SDR,"SD.TTC.DES.02.03, SD.TTC.DES.01.11",SD.TTC.DES.02.00,0%
SD.TTC.DES.02.04,GS,Receiver Testing on Target SDR,RF Specialist,1 month,Tested primary uplink receiver design,"SD.TTC.DES.02.03, SD.TTC.DES.01.11",Testing of design with synthesised data,Tx capable SDR,"SD.TTC.DES.02.03, SD.TTC.DES.01.11",SD.TTC.DES.02.00,0%
SD.TTC.TRD.02.00,GS,Uplink System Configuration,RF Specialist,2 months,Decision for Uplink System Design,SD.TTC.ANL.01.00,Perform tradeoff of options for uplink system,"MATLAB, Simulink",SD.TTC.ANL.01.00,SD.TTC.DES.02.00,0%
SD.TTC.TRD.02.01,GS,"Tradeoff of Modulation, Coding Methods and Rates",RF Specialist,2 weeks,"Tradeoff Analysis of uplink modulation, coding method and rates.",SD.TTC.ANL.01.00,"Identification of suitable methods, tradeoff report outlining expected performance of each",Channel analysis results,SD.TTC.ANL.01.00,SD.TTC.TRD.02.02,0%
SD.TTC.TRD.02.02,GS,Recommendation of Uplink System Configuration,RF Specialist,2 weeks,"Final report including methodology, results, and recommendations",SD.TTC.TRD.02.01,Compile all findings and select suitable option.,Tradeoff Analysis Result,SD.TTC.TRD.02.01,SD.TTC.TRD.02.00,0%
